code,uamId
B-GST 111,620
B-CHM 111,78
B-CHM 151,2450
B-PHY 111,404
B-CMP 111,473
B-BIO 101,300
B-MTH 111,510
B-PHY 191,406
B-GST 113,622
B-MTH 122,1385
B-GST 116,1602
B-BIO 102,6945
B-CHM 122,109
B-CHM 152,2327
B-PHY 142,1384
B-GST 112,1600
B-GST 114,1601
B-CHM 132,110
B-BCH 201,276
B-CHM 251,84
B-CHM 211,80
B-ENT 211,2050
B-CHM 221,81
B-CHM 241,83
B-BCH 211,994
B-BIO 201,302
B-MCB 201,337
B-BIO 204,1724
B-BCH 202,1490
B-CHM 254,1790
B-CHM 232,1789
B-BIO 206,1599
B-GST 222,1607
B-BCH 212,1788
B-CHM 252,114
B-MCB 202,1671
B-BCH 303,279
B-BCH 307,956
B-BCH 309,2101
B-BIO 301,309
B-CHM 351,91
B-BCH 301,2103
B-BCH 311,2102
B-BCH 299,1787
B-ENT 311,2051
B-CHM 311,86
B-CHM 321,87
B-BCH 305,280
B-BCH 308,2370
B-ENT 312,2052
B-CHM 354,120
B-CHM 332,118
B-CHM 352,119
B-BCH 304,1808
B-BCH 306,2369
B-BCH 302,1807
B-BCH 310,2371
B-MCB 308,1727
B-BCH 403,2517
B-BCH 407,2518
B-BCH 413,289
B-BCH 415,2551
B-BCH 405,2522
B-BCH 411,2520
B-BCH 401,283
B-BCH 399,2521
B-BCH 404,2721
B-BCH 414,3717
B-BCH 499,292
B-BCH 402,2720
B-BCH 406,2355
B-MCB 304,1686
B-BCH 408,2722
B-BCH 410,2723
B-BCH 412,2724
C-CHM 101,6211
C-PHY 101,403
C-PHY 107,6239
C-GST 111,620
C-BIO 101,6244
C-BIO 107,6237
C-CHM 107,6212
C-MTH 101,6208
C-JOSTUM-BCH 101,6240
C-BIO 102,1604
C-BIO 108,6416
C-PHY 108,6400
C-GST 112,1600
C-CHM 108,6317
C-PHY 102,6399
C-CHM 102,1605
C-MTH 102,6215
C-JOSTUM-PBS104,6472
C-JOSTUM-CHM 213,6755
C-JOSTUM-COS 101,
C-ENT 211,2050
C-STA 201,4064
C-JOSTUM-CHM 211,6754
C-BCH 201,276
C-BCH 203,1002
C-BCH 202,1490
C-GST 212,6696
C-JOSTUM-BCH 208,
C-JOSTUM-BCH 216,
C-JOSTUM-BIO 204,
C-JOSTUM-CHM 210,
C-JOSTUM-CHM 212,
C-BCH 299,1787
C-BCH 305,280
C-BCH 307,956
C-JOSTUM-MCB 307,
C-BCH 301,278
C-BCH 309,
C-BCH 303,
C-BCH 306,
C-JOSTUM-BCH 314,
C-BCH 302,
C-ENT 312,2052
C-JOSTUM-CHM 302,
C-BCH 304,1808
C-BCH 308,2370
C-GST 312,6184
C-BCH 407,
C-BCH 405,
C-JOSTUM-BCH 409,
C-JOSTUM-BCH 411,2520
C-BCH 399,2521
C-BCH 401,283
C-BCH 403,
C-BCH 404,
C-BCH 406,
C-BCH 408,
C-BCH 402,
C-JOSTUM-BCH 410,
C-JOSTUM-BCH 412,
B-PHY 192,1435
